417-555-1000--C0000, C00099
417-555-1002--C0001, C00098
417-555-1004--C0002, C00097
417-555-1006--C0003, C00096
417-555-1008--C0004, C00095
417-555-1010--C0005, C00094
417-555-1012--C0006, C00093
417-555-1014--C0007, C00092
417-555-1016--C0008, C00091
417-555-1018--C0009, C00090
417-555-1020--C00010, C00089
417-555-1022--C00011, C00088
417-555-1024--C00012, C00087
417-555-1026--C00013, C00086
417-555-1028--C00014, C00085
417-555-1030--C00015, C00084
417-555-1032--C00016, C00083
417-555-1034--C00017, C00082
417-555-1036--C00018, C00081
417-555-1038--C00019, C00080
417-555-1040--C00020, C00079
417-555-1042--C00021, C00078
417-555-1044--C00022, C00077
417-555-1046--C00023, C00076
417-555-1048--C00024, C00075
417-555-1050--C00025, C00074
417-555-1052--C00026, C00073
417-555-1054--C00027, C00072
417-555-1056--C00028, C00071
417-555-1058--C00029, C00070
417-555-1060--C00030, C00069
417-555-1062--C00031, C00068
417-555-1064--C00032, C00067
417-555-1066--C00033, C00066
417-555-1068--C00034, C00065
417-555-1070--C00035, C00064
417-555-1072--C00036, C00063
417-555-1074--C00037, C00062
417-555-1076--C00038, C00061
417-555-1078--C00039, C00060
417-555-1080--C00040, C00059
417-555-1082--C00041, C00058
417-555-1084--C00042, C00057
417-555-1086--C00043, C00056
417-555-1088--C00044, C00055
417-555-1090--C00045, C00054
417-555-1092--C00046, C00053
417-555-1094--C00047, C00052
417-555-1096--C00048, C00051
417-555-1098--C00049, C00050
